5	13	19.598
5	12	2.783
5	11	2.893
5	10	2.736
5	9	2.892
5	8	2.697
5	7	2.705
5	6	2.649
5	5	2.373
5	4	1.522
6	3	2.629
6	4	2.715
6	5	2.85
6	6	2.621
6	7	2.696
6	8	2.622
6	9	2.633
6	10	2.715
6	11	2.761
6	12	3.071
6	13	2.86
6	14	2.838
7	16	2.605
7	15	3.019
7	14	3.001
7	13	2.948
7	12	2.821
7	11	2.446
7	10	2.305
7	9	2.131
7	8	1.937
7	7	1.928
7	6	2.195
7	5	2.507
7	4	2.909
7	3	2.885
7	2	3.089
7	1	2.646
8	1	2.959
8	2	3.144
8	3	2.933
8	4	2.694
8	5	2.196
8	6	1.872
8	7	1.547
8	8	1.5
8	9	1.693
8	10	1.806
8	11	1.917
8	12	2.406
8	13	2.936
8	14	3.021
8	15	3.268
8	16	3.229
9	16	3.067
9	15	3.407
9	14	2.927
9	13	2.944
9	12	2.302
9	11	2.046
9	10	1.776
9	9	1.441
9	8	1.255
9	7	1.561
9	6	1.868
9	5	2.004
9	4	2.516
9	3	2.809
9	2	2.968
9	1	2.982
10	2	3.174
10	3	3.215
10	4	2.942
10	5	2.625
10	6	2.298
10	7	2.083
10	8	1.884
10	9	2.226
10	10	2.373
10	11	2.321
10	12	3.014
10	13	3.194
10	14	3.338
10	15	3.473
11	14	3.703
11	13	3.48
11	12	3.237
11	11	3.066
11	10	2.925
11	9	2.656
11	8	2.846
11	7	2.796
11	6	2.963
11	5	3.4
11	4	3.464
11	3	3.524
12	7	3.227
12	8	3.402
12	9	3.307
12	10	3.331
