5	13	157.8
5	12	40.8
5	11	41.7
5	10	41.1
5	9	41.2
5	8	41.1
5	7	41.1
5	6	41.0
5	5	40.3
5	4	32.7
6	3	41.2
6	4	41.6
6	5	42.6
6	6	41.5
6	7	41.9
6	8	41.5
6	9	41.6
6	10	41.8
6	11	41.2
6	12	42.4
6	13	41.7
6	14	41.7
7	16	40.7
7	15	42.5
7	14	42.2
7	13	41.4
7	12	40.9
7	11	40.6
7	10	40.5
7	9	39.6
7	8	39.4
7	7	39.4
7	6	40.7
7	5	41.9
7	4	42.1
7	3	42.4
7	2	42.9
7	1	41.9
8	1	42.5
8	2	43.0
8	3	43.0
8	4	40.8
8	5	40.2
8	6	38.9
8	7	38.2
8	8	37.6
8	9	38.5
8	10	39.4
8	11	39.9
8	12	40.9
8	13	43.0
8	14	43.3
8	15	43.0
8	16	42.7
9	16	42.6
9	15	43.2
9	14	43.2
9	13	41.6
9	12	41.6
9	11	39.8
9	10	38.5
9	9	38.3
9	8	39.4
9	7	38.4
9	6	40.2
9	5	41.2
9	4	41.2
9	3	42.4
9	2	44.1
9	1	43.9
10	2	43.5
10	3	43.1
10	4	42.0
10	5	41.8
10	6	42.0
10	7	39.7
10	8	39.4
10	9	40.1
10	10	41.2
10	11	42.0
10	12	44.0
10	13	43.6
10	14	45.7
10	15	43.7
11	14	45.5
11	13	44.7
11	12	44.0
11	11	48.4
11	10	46.8
11	9	44.0
11	8	43.6
11	7	43.5
11	6	44.5
11	5	45.9
11	4	45.2
11	3	46.4
12	7	46.5
12	8	45.9
12	9	46.6
12	10	46.1
