5	13	149.1
5	12	53.4
5	11	42.0
5	10	52.8
5	9	40.1
5	8	52.2
5	7	43.9
5	6	55.9
5	5	44.1
5	4	153.4
6	3	34.7
6	4	40.4
6	5	32.9
6	6	35.6
6	7	29.6
6	8	32.5
6	9	27.4
6	10	31.8
6	11	27.0
6	12	33.4
6	13	30.5
6	14	40.2
7	16	51.9
7	15	32.0
7	14	34.8
7	13	26.1
7	12	26.6
7	11	19.7
7	10	24.0
7	9	21.2
7	8	25.3
7	7	22.8
7	6	30.0
7	5	28.1
7	4	33.6
7	3	31.1
7	2	39.9
7	1	42.2
8	1	39.4
8	2	38.9
8	3	30.5
8	4	30.9
8	5	25.8
8	6	27.9
8	7	22.4
8	8	20.4
8	9	19.0
8	10	22.0
8	11	20.3
8	12	26.5
8	13	25.3
8	14	36.5
8	15	33.1
8	16	51.6
9	16	58.5
9	15	38.3
9	14	39.6
9	13	29.5
9	12	29.7
9	11	23.2
9	10	22.7
9	9	20.1
9	8	23.9
9	7	24.6
9	6	29.4
9	5	27.4
9	4	33.4
9	3	33.4
9	2	43.0
9	1	46.4
10	2	57.6
10	3	33.5
10	4	37.1
10	5	31.2
10	6	32.6
10	7	25.3
10	8	25.3
10	9	23.1
10	10	28.4
10	11	27.3
10	12	39.1
10	13	34.5
10	14	48.4
10	15	50.6
11	14	66.3
11	13	50.2
11	12	53.9
11	11	36.9
11	10	38.8
11	9	32.4
11	8	36.1
11	7	32.8
11	6	37.8
11	5	40.4
11	4	55.8
11	3	46.1
12	7	47.1
12	8	52.8
12	9	47.3
12	10	56.0
