5	13	28.8
5	12	33.7
5	11	33.6
5	10	33.8
5	9	33.3
5	8	34.0
5	7	34.2
5	6	33.9
5	5	34.7
5	4	27.9
6	3	33.7
6	4	34.0
6	5	33.4
6	6	34.1
6	7	33.8
6	8	34.1
6	9	33.8
6	10	35.0
6	11	34.8
6	12	33.6
6	13	35.0
6	14	33.6
7	16	33.9
7	15	33.7
7	14	34.1
7	13	33.7
7	12	33.8
7	11	33.6
7	10	33.7
7	9	33.0
7	8	33.8
7	7	34.4
7	6	33.9
7	5	33.5
7	4	33.9
7	3	33.9
7	2	33.5
7	1	34.0
8	1	33.7
8	2	33.8
8	3	33.0
8	4	33.3
8	5	33.6
8	6	33.2
8	7	33.6
8	8	33.4
8	9	33.9
8	10	33.5
8	11	34.1
8	12	33.8
8	13	33.4
8	14	34.1
8	15	33.4
8	16	33.4
9	16	33.5
9	15	33.8
9	14	34.6
9	13	33.8
9	12	34.0
9	11	33.6
9	10	33.7
9	9	33.9
9	8	34.2
9	7	33.6
9	6	33.4
9	5	33.7
9	4	33.7
9	3	33.8
9	2	33.9
9	1	34.0
10	2	33.5
10	3	33.3
10	4	33.3
10	5	33.4
10	6	33.8
10	7	33.7
10	8	33.7
10	9	33.5
10	10	33.6
10	11	34.1
10	12	33.5
10	13	33.5
10	14	33.5
10	15	33.1
11	14	33.6
11	13	34.0
11	12	33.6
11	11	34.4
11	10	34.7
11	9	35.2
11	8	34.9
11	7	35.4
11	6	35.5
11	5	35.5
11	4	35.2
11	3	35.5
12	7	35.5
12	8	35.8
12	9	35.3
12	10	35.8
